Run,Checkpoint,Modo,Seed,estado,origen,destino
r128_a256_d005,epoch_100_loss_0.1788,mixolydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_mixolydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\mixolydian_seed1111.flac
r128_a256_d005,epoch_100_loss_0.1788,mixolydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_mixolydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\mixolydian_seed2222.flac
r128_a256_d005,epoch_100_loss_0.1788,aeolian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_aeolian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\aeolian_seed1111.flac
r128_a256_d005,epoch_100_loss_0.1788,aeolian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_aeolian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\aeolian_seed2222.flac
r128_a256_d005,epoch_100_loss_0.1788,locrian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_locrian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\locrian_seed1111.flac
r128_a256_d005,epoch_100_loss_0.1788,locrian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_100_loss_0.1788_locrian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_100_loss_0.1788\locrian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,ionian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_ionian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\ionian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,ionian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_ionian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\ionian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,dorian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_dorian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\dorian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,dorian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_dorian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\dorian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,phrygian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_phrygian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\phrygian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,phrygian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_phrygian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\phrygian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,lydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_lydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\lydian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,lydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_lydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\lydian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,mixolydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_mixolydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\mixolydian_seed1111.flac
